Brewery,City,Brewery_type,Rating,City_population,Number_of_ratings,Date
SurlyBrewingCompany,Minneapolis,Micro Brewery,3.95,1.47M+,"862,844 Ratings",Added 10/10/10
wdraught-house-pub-and-brewery7718,Austin,Micro Brewery,3.71,"5,770","4,363 Ratings",Added 02/03/11
ThreeFreaksBrewery,Highlands Ranch,Micro Brewery,3.47,"6,644","5,669 Ratings",Added 05/18/14
SudwerkBrewingCo,Davis,Micro Brewery,3.64,"85,864","66,445 Ratings",Added 12/24/10
TwoBrothersBrewing,Warrenville,Micro Brewery,3.65,"803,121","574,361 Ratings",Added 10/03/10
ThreeNotchdBrewing,Charlottesville,Micro Brewery,3.72,"166,857","127,441 Ratings",Added 09/02/13
wgeneseo-brewing-co218936,Geneseo,Brew Pub,3.72,"3,975","3,246 Ratings",Added 08/07/15
wdockyard-brewing-company10725,Smiths Parish,Micro Brewery,3.38,"6,939","5,539 Ratings",Added 04/22/11
KentFallsBrewing,Kent,Micro Brewery,3.88,"170,097","135,757 Ratings",Added 12/13/14
ClownShoes,Ipswich,Micro Brewery,3.83,1.27M+,"1,023,645 Ratings",Added 10/30/10
StoneBrewing,Escondido,Micro Brewery,3.92,8.01M+,"5,754,500 Ratings",Added 09/29/10
HarmonicBrewing,San Francisco,Micro Brewery,3.71,"11,304","9,287 Ratings",Added 08/08/15
TheLionBrewery,Wilkes-Barre,Macro Brewery,3.16,"76,171","44,287 Ratings",Added 09/29/10
1912BrewingCo,Tucson,Micro Brewery,3.81,"10,561","8,627 Ratings",Added 07/10/15
uplandbrewco,Bloomington,Micro Brewery,3.82,"472,736","348,775 Ratings",Added 10/04/10
PenroseBrewingCompany,Geneva,Micro Brewery,3.76,"100,445","77,698 Ratings",Added 05/05/13
StoneyHeadBrewingCo,Reno,Micro Brewery,3.37,"2,263","1,650 Ratings",Added 07/13/13
flattailbrewing,Corvallis,Micro Brewery,3.65,"43,908","36,094 Ratings",Added 12/29/10
612_Brew,Minneapolis,Micro Brewery,3.45,"47,481","35,802 Ratings",Added 04/27/11
BigTimberBrewing,Elkins,Micro Brewery,3.7,"31,018","21,305 Ratings",Added 05/21/14
FunkBrewingCompany,Emmaus,Micro Brewery,3.85,"159,278","110,792 Ratings",Added 02/18/14
liverybrew,Benton Harbor,Micro Brewery,3.85,"38,334","27,145 Ratings",Added 11/14/10
LaurelwoodBrewingCo,Portland,Brew Pub,3.73,"168,011","121,504 Ratings",Added 11/13/10
ForgeBrewHouse,Dekalb,Micro Brewery,3.55,"6,442","4,879 Ratings",Added 05/31/15
RareBirdBrewpub,Traverse City,Brew Pub,3.69,"21,043","18,188 Ratings",Added 09/27/13
wloose-shoe-brewing-company196634,Amherst,Brew Pub,3.65,"3,326","2,668 Ratings",Added 04/11/15
bellsbrewery,Comstock,Micro Brewery,3.86,5.24M+,"2,997,063 Ratings",Added 09/29/10
